"SRS ID","Body Site","File Location","File MD5","File Size"
"SRS050327","mid_vagina","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS050327.fsa.gz","2a4adce226490fba2d2bbe502c4616e6","393190"
"SRS063820","palatine_tonsils","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS063820.fsa.gz","f4e446243ebbc148cc5c599f93dc7259","1188768"
"SRS011523","vaginal_introitus","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS011523.fsa.gz","bc04a000b3d3ba8b41ef7499b1eda492","737995"
"SRS020018","left_retroauricular_crease","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS020018.fsa.gz","b9f7bd2be9d0c522d45a17050d3a96c5","212896"
"SRS044673","right_retroauricular_crease","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS044673.fsa.gz","66cd1e7cb4730e4412211bfce9a752a7","118923"
"SRS019007","right_antecubital_fossa","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS019007.fsa.gz","9ba633ca1c6d0c04d63235b453ca71ec","409098"
"SRS049002","right_retroauricular_crease","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS049002.fsa.gz","ee974a02669d66223879f662f909719c","351236"
"SRS013711","buccal_mucosa","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS013711.fsa.gz","7b43df17b8ced73175316b1c1e15421d","265709"
"SRS064418","left_retroauricular_crease","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS064418.fsa.gz","fb1e59c2214093e598f1e417bbc7d292","109750"
"SRS058256","throat","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS058256.fsa.gz","17cb1ff6ffb2aa9519900cc53a124193","384804"
"SRS022247","throat","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS022247.fsa.gz","4927d07c9ec796bb09d5c1285a5bfe18","215593"
"SRS011617","mid_vagina","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS011617.fsa.gz","7d3e4dfb43f8f93c119f567387fc6172","267038"
"SRS023500","tongue_dorsum","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS023500.fsa.gz","1a9dffa03c985457c97b701228d7a5f5","825691"
"SRS046244","palatine_tonsils","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS046244.fsa.gz","b5c83e633eeb8111131c68d4c5569ab7","235030"
"SRS013774","tongue_dorsum","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS013774.fsa.gz","74952b62ef80bed8553aafde476988d7","471367"
"SRS021692","left_retroauricular_crease","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS021692.fsa.gz","8fbb639c41b999d094f07a7fcc10bca6","344"
"SRS023514","subgingival_plaque","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS023514.fsa.gz","e41d428fbec33367919097865827bcdd","766370"
"SRS048226","left_antecubital_fossa","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS048226.fsa.gz","9c72e058a6328c9b1fa5be589787594f","2427"
"SRS016074","subgingival_plaque","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS016074.fsa.gz","550e8fcc43da8aebb51bfd3e7608768a","962328"
"SRS020024","right_antecubital_fossa","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS020024.fsa.gz","1f3429859c1f3d6b19e415da909c0b94","176673"
"SRS049597","mid_vagina","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS049597.fsa.gz","4c0ed19db9ecaa2ce61f5c8f4af2e762","398386"
"SRS052128","tongue_dorsum","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS052128.fsa.gz","cc8212f8f87b0a8b108f35d9dee365f1","456434"
"SRS063727","buccal_mucosa","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS063727.fsa.gz","b659546c46ce3084fc53a31e965d45a0","1694071"
"SRS044477","right_retroauricular_crease","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS044477.fsa.gz","9e47d3107d4b252368cbc99a40a0d045","516624"
"SRS064399","left_retroauricular_crease","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS064399.fsa.gz","1712f00ccc632034ba37bab97552a574","453577"
"SRS062998","right_antecubital_fossa","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS062998.fsa.gz","cf08e50d014aa1c70ebb52df6e72abda","140158"
"SRS054697","buccal_mucosa","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS054697.fsa.gz","0844336693b040698936988ea503355b","532991"
"SRS051176","palatine_tonsils","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS051176.fsa.gz","8670054901b88af3cf05fb0d6d2f0295","907326"
"SRS011179","right_retroauricular_crease","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS011179.fsa.gz","509a08a01683226db2b9da80eae2a0ec","1211312"
"SRS046980","tongue_dorsum","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS046980.fsa.gz","ef2cc3a5d19571f2f3fe35ecd17e2c94","135085"
"SRS014436","throat","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS014436.fsa.gz","4d81f087a3c244d2f023badc458d8846","1020589"
"SRS042415","stool","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS042415.fsa.gz","9cbe5dd155ad01c427917d65a18f0bbe","655575"
"SRS016428","left_retroauricular_crease","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS016428.fsa.gz","ac02392545016ce387f07fbbb5dc7e8d","178167"
"SRS064596","saliva","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS064596.fsa.gz","7674c33ba31b3d45e7d851dbb320e2a8","375332"
"SRS014653","hard_palate","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS014653.fsa.gz","9f5cc0eb9f92640845c7eb4e0bb2e6ea","1536956"
"SRS017495","mid_vagina","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS017495.fsa.gz","6fc8bc6e02b34f30b900a637233b78fb","203705"
"SRS013585","posterior_fornix","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS013585.fsa.gz","b88368e45295ce2070b68540daacfaa0","504442"
"SRS065570","anterior_nares","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS065570.fsa.gz","b0810078adc710bfe7baaae89d16ea6d","254877"
"SRS019498","left_retroauricular_crease","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS019498.fsa.gz","056afaadcf36d1234d0e7e240bd6d673","753933"
"SRS017215","buccal_mucosa","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS017215.fsa.gz","20a9c9f609084baef48a29cd802eb225","209623"
"SRS016178","left_antecubital_fossa","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS016178.fsa.gz","53a7b59bf3abfb08550e5e9c9af74599","295810"
"SRS011623","saliva","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS011623.fsa.gz","e83512c83daefd63c7eae265f3d80099","1994063"
"SRS011647","vaginal_introitus","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS011647.fsa.gz","3c3efd3da523f8f5703669868cbbf69e","514323"
"SRS022508","left_retroauricular_crease","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS022508.fsa.gz","98f30fc85105f354aa0b5c0e617292b9","669839"
"SRS020314","supragingival_plaque","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS020314.fsa.gz","78a93d6726df462388eebac6ccfe3cab","775449"
"SRS017345","saliva","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS017345.fsa.gz","6822f4d381b6f1d810d9c1af96ba3bd5","230040"
"SRS015526","throat","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS015526.fsa.gz","6e6f5e14de0b23bc506189ccfc6d7adf","971517"
"SRS022131","vaginal_introitus","http://downloads.hmpdacc.org/data/HM16STR/by_sample/SRS022131.fsa.gz","74c096c9d478ada5b40d6b80b7c6c582","98679"
