Sample	Location	LocIndex
smp_SRS011157	stool	0
smp_SRS011159	saliva	4
smp_SRS011161	tongue_dorsum	1
smp_SRS011163	hard_palate	6
smp_SRS011165	buccal_mucosa	7
smp_SRS011167	attached_keratinized_gingiva	5
smp_SRS011169	palatine_tonsils	2
smp_SRS011171	throat	3
smp_SRS011173	supragingival_plaque	8
smp_SRS011175	subgingival_plaque	9
smp_SRS011177	left_retroauricular_crease	10
smp_SRS011179	right_retroauricular_crease	11
smp_SRS011180	left_antecubital_fossa	13
smp_SRS011181	right_antecubital_fossa	14
smp_SRS011182	anterior_nares	12
smp_SRS011271	stool	0
smp_SRS011273	saliva	4
smp_SRS011275	tongue_dorsum	1
smp_SRS011277	hard_palate	6
smp_SRS011279	buccal_mucosa	7
smp_SRS011281	attached_keratinized_gingiva	5
smp_SRS011283	palatine_tonsils	2
smp_SRS011285	throat	3
smp_SRS011287	supragingival_plaque	8
smp_SRS011289	subgingival_plaque	9
smp_SRS011290	left_retroauricular_crease	10
smp_SRS011292	right_retroauricular_crease	11
smp_SRS011293	left_antecubital_fossa	13
smp_SRS011294	right_antecubital_fossa	14
smp_SRS011296	anterior_nares	12
smp_SRS011300	stool	0
smp_SRS011357	saliva	4
smp_SRS011359	tongue_dorsum	1
smp_SRS011361	hard_palate	6
smp_SRS011363	buccal_mucosa	7
smp_SRS011365	attached_keratinized_gingiva	5
smp_SRS011367	palatine_tonsils	2
smp_SRS011369	throat	3
smp_SRS011371	supragingival_plaque	8
smp_SRS011373	subgingival_plaque	9
smp_SRS011375	left_retroauricular_crease	10
smp_SRS011377	right_retroauricular_crease	11
smp_SRS011378	left_antecubital_fossa	13
smp_SRS011380	anterior_nares	12
smp_SRS011405	stool	0
smp_SRS011407	saliva	4
smp_SRS011409	tongue_dorsum	1
smp_SRS011410	stool	0
smp_SRS011413	stool	0
smp_SRS011415	stool	0
smp_SRS011417	saliva	4
smp_SRS011419	tongue_dorsum	1
smp_SRS011421	hard_palate	6
smp_SRS011423	buccal_mucosa	7
smp_SRS011425	attached_keratinized_gingiva	5
smp_SRS011427	palatine_tonsils	2
smp_SRS011429	throat	3
smp_SRS011431	supragingival_plaque	8
smp_SRS011433	subgingival_plaque	9
smp_SRS011434	left_retroauricular_crease	10
smp_SRS011435	right_retroauricular_crease	11
smp_SRS011436	left_antecubital_fossa	13
smp_SRS011438	right_antecubital_fossa	14
smp_SRS011440	anterior_nares	12
smp_SRS011441	left_retroauricular_crease	10
smp_SRS011442	right_retroauricular_crease	11
smp_SRS011443	left_antecubital_fossa	13
