SEQ_000039	U32596
SEQ_000040	incertae
SEQ_000047	incertae
SEQ_000141	incertae
SEQ_000157	incertae
SEQ_000158	AY234441
SEQ_000176	incertae
SEQ_000179	incertae
SEQ_000209	incertae
SEQ_000216	unknown
SEQ_000223	incertae
SEQ_000229	incertae
SEQ_000263	incertae
SEQ_000283	unknown
SEQ_000293	incertae
SEQ_000299	unknown
SEQ_000304	incertae
SEQ_000326	incertae
SEQ_000333	incertae
SEQ_000334	incertae
SEQ_000346	incertae
SEQ_000365	incertae
SEQ_000367	incertae
SEQ_000380	incertae
SEQ_000391	incertae
SEQ_000398	incertae
SEQ_000400	incertae
SEQ_000401	incertae
SEQ_000414	incertae
SEQ_000418	incertae
SEQ_000427	incertae
SEQ_000428	incertae
SEQ_000432	incertae
SEQ_000453	incertae
SEQ_000455	incertae
SEQ_000457	incertae
SEQ_000465	incertae
SEQ_000481	incertae
SEQ_000482	incertae
SEQ_000483	incertae
SEQ_000491	incertae
SEQ_000492	incertae
SEQ_000494	incertae
SEQ_000496	incertae
SEQ_000497	incertae
SEQ_000499	incertae
SEQ_000500	incertae
SEQ_000509	AY245191
SEQ_000528	incertae
SEQ_000530	incertae
SEQ_000531	incertae
SEQ_000534	incertae
SEQ_000535	incertae
SEQ_000536	incertae
SEQ_000537	incertae
SEQ_000538	incertae
SEQ_000539	incertae
SEQ_000540	incertae
SEQ_000545	incertae
SEQ_000547	incertae
SEQ_000566	incertae
SEQ_000567	incertae
SEQ_000598	incertae
SEQ_000605	incertae
SEQ_000609	incertae
SEQ_000610	incertae
SEQ_000611	incertae
SEQ_000613	incertae
SEQ_000616	AY253919
SEQ_000621	incertae
SEQ_000623	incertae
SEQ_000624	incertae
SEQ_000625	incertae
SEQ_000627	incertae
SEQ_000628	incertae
SEQ_000629	incertae
SEQ_000634	incertae
SEQ_000637	incertae
SEQ_000639	incertae
SEQ_000641	incertae
SEQ_000644	incertae
SEQ_000653	incertae
SEQ_000670	incertae
SEQ_000707	incertae
SEQ_000710	incertae
SEQ_000724	incertae
SEQ_000725	incertae
SEQ_000737	incertae
SEQ_000738	incertae
SEQ_000741	incertae
SEQ_000746	incertae
SEQ_000749	incertae
SEQ_000750	incertae
SEQ_000753	U45989
SEQ_000754	incertae
SEQ_000757	incertae
SEQ_000758	incertae
SEQ_000763	incertae
SEQ_000770	incertae
SEQ_000779	incertae
SEQ_000782	incertae
SEQ_000792	incertae
SEQ_000797	incertae
SEQ_000806	incertae
SEQ_000808	incertae
SEQ_000813	incertae
SEQ_000816	JQ258599
SEQ_000820	incertae
SEQ_000833	incertae
SEQ_000837	AY260168
SEQ_000842	incertae
SEQ_000844	incertae
SEQ_000846	incertae
SEQ_000848	incertae
SEQ_000849	incertae
SEQ_000854	incertae
SEQ_000863	incertae
SEQ_000870	incertae
SEQ_000871	incertae
SEQ_000873	incertae
SEQ_000876	unknown
SEQ_000879	incertae
SEQ_000884	incertae
SEQ_000886	incertae
SEQ_000888	incertae
SEQ_000889	incertae
SEQ_000890	incertae
SEQ_000891	incertae
SEQ_000893	incertae
SEQ_000895	incertae
SEQ_000896	incertae
SEQ_000918	incertae
SEQ_000922	incertae
SEQ_000924	incertae
SEQ_000936	incertae
SEQ_000937	incertae
SEQ_000938	incertae
SEQ_000943	incertae
SEQ_000944	incertae
SEQ_000945	incertae
SEQ_000954	incertae
SEQ_000972	incertae
SEQ_000984	incertae
SEQ_000985	incertae
SEQ_000986	incertae
SEQ_000987	incertae
SEQ_000988	incertae
SEQ_000989	incertae
SEQ_000991	incertae
SEQ_001017	incertae
SEQ_001024	incertae
SEQ_001032	incertae
SEQ_001034	incertae
SEQ_001035	incertae
SEQ_001043	incertae
SEQ_001067	incertae
SEQ_001069	incertae
SEQ_001072	incertae
SEQ_001075	incertae
SEQ_001079	incertae
SEQ_001090	incertae
SEQ_001096	unknown
SEQ_001100	incertae
SEQ_001104	incertae
SEQ_001110	incertae
SEQ_001123	incertae
SEQ_001124	incertae
SEQ_001126	incertae
SEQ_001135	incertae
SEQ_001137	incertae
SEQ_001138	incertae
SEQ_001144	incertae
SEQ_001152	incertae
SEQ_001173	incertae
SEQ_001185	incertae
SEQ_001199	incertae
SEQ_001205	incertae
SEQ_001210	incertae
SEQ_001235	incertae
SEQ_001241	incertae
SEQ_001247	incertae
SEQ_001253	incertae
SEQ_001271	incertae
SEQ_001297	incertae
SEQ_001306	incertae
SEQ_001311	incertae
SEQ_001324	incertae
SEQ_001345	incertae
SEQ_001357	unknown
SEQ_001362	incertae
SEQ_001363	incertae
SEQ_001366	incertae
SEQ_001373	incertae
SEQ_001397	incertae
SEQ_001406	unknown
SEQ_001407	incertae
SEQ_001408	incertae
SEQ_001413	incertae
SEQ_001424	incertae
SEQ_001458	incertae
SEQ_001459	incertae
SEQ_001461	incertae
SEQ_001480	incertae
SEQ_001483	incertae
SEQ_001492	incertae
SEQ_001516	incertae
SEQ_001529	incertae
SEQ_001550	incertae
SEQ_001556	incertae
SEQ_001563	incertae
SEQ_001572	incertae
SEQ_001573	incertae
SEQ_001585	incertae
SEQ_001604	incertae
SEQ_001618	incertae
SEQ_001625	incertae
SEQ_001658	incertae
SEQ_001659	incertae
SEQ_001675	incertae
SEQ_001684	incertae
SEQ_001686	incertae
SEQ_001707	incertae
SEQ_001719	unknown
SEQ_001749	incertae
SEQ_001750	incertae
SEQ_001756	incertae
SEQ_001758	incertae
SEQ_001769	incertae
SEQ_001798	incertae
SEQ_001799	incertae
SEQ_001814	incertae
SEQ_001850	incertae
SEQ_001857	incertae
SEQ_001907	incertae
SEQ_001909	incertae
SEQ_001920	incertae
SEQ_002042	incertae
SEQ_002052	incertae
SEQ_002102	incertae
SEQ_002103	incertae
SEQ_002117	incertae
SEQ_002125	incertae
SEQ_002156	incertae
SEQ_002202	incertae
SEQ_002203	incertae
SEQ_002204	AB009177
SEQ_002218	U80417
SEQ_002239	incertae
SEQ_002252	incertae
SEQ_002254	incertae
SEQ_002294	U85838
SEQ_002301	incertae
SEQ_002302	incertae
SEQ_002303	incertae
SEQ_002318	U80210
SEQ_002338	JQ837267
SEQ_002456	U85898
SEQ_002500	incertae
SEQ_002566	AY292938
SEQ_002641	incertae
SEQ_002734	incertae
SEQ_002745	incertae
SEQ_002760	incertae
SEQ_002819	JQ855896
SEQ_002822	unknown
SEQ_002823	incertae
SEQ_002905	incertae
SEQ_002921	unknown
SEQ_002971	unknown
SEQ_002972	unknown
SEQ_002984	incertae
SEQ_003006	incertae
SEQ_003031	KF301605
SEQ_003049	incertae
SEQ_003050	incertae
SEQ_003079	EF185902
SEQ_003146	unknown
SEQ_003190	incertae
SEQ_003191	incertae
SEQ_003193	incertae
SEQ_003196	incertae
SEQ_003201	incertae
SEQ_003204	incertae
SEQ_003240	incertae
SEQ_003241	incertae
SEQ_003246	incertae
SEQ_003247	incertae
SEQ_003248	incertae
SEQ_003251	incertae
SEQ_003253	incertae
SEQ_003261	incertae
SEQ_003264	incertae
SEQ_003312	unknown
SEQ_003341	incertae
SEQ_003342	incertae
SEQ_003344	incertae
SEQ_003346	incertae
SEQ_003348	incertae
SEQ_003354	incertae
SEQ_003389	incertae
SEQ_003390	incertae
SEQ_003393	incertae
SEQ_003394	incertae
SEQ_003396	incertae
SEQ_003397	incertae
SEQ_003404	incertae
SEQ_003409	incertae
SEQ_003441	incertae
SEQ_003457	incertae
SEQ_003531	incertae
SEQ_003549	JQ864434
SEQ_003550	incertae
SEQ_003555	incertae
SEQ_003557	incertae
SEQ_003562	incertae
SEQ_003567	incertae
SEQ_003580	incertae
SEQ_003582	incertae
SEQ_003583	unknown
SEQ_003587	unknown
SEQ_003590	incertae
SEQ_003596	incertae
SEQ_003731	incertae
SEQ_003743	incertae
SEQ_003751	incertae
SEQ_003755	incertae
SEQ_003773	incertae
SEQ_003779	incertae
SEQ_003789	incertae
SEQ_003863	incertae
SEQ_003875	KF303587
SEQ_003884	KF304797
SEQ_003932	incertae
SEQ_003965	incertae
SEQ_003966	incertae
SEQ_003980	incertae
SEQ_004028	AY315181
SEQ_004056	incertae
SEQ_004064	incertae
SEQ_004068	JQ885666
SEQ_004107	JQ885632
SEQ_004112	incertae
SEQ_004171	incertae
SEQ_004173	incertae
SEQ_004175	incertae
SEQ_004220	incertae
SEQ_004266	X55767
SEQ_004309	incertae
SEQ_004406	KF307196
SEQ_004581	incertae
SEQ_004772	incertae
SEQ_004821	incertae
SEQ_004838	EF198107
SEQ_004866	AB034140
SEQ_004916	X62172
SEQ_005038	incertae
SEQ_005040	incertae
SEQ_005053	AB034706
SEQ_005077	incertae
SEQ_005174	EF198470
SEQ_005219	JQ901430
SEQ_005281	incertae
SEQ_005401	GQ288950
SEQ_005511	AY345422
SEQ_005534	incertae
SEQ_005654	JQ904623
SEQ_005658	AY345557
SEQ_005681	JQ904752
SEQ_005699	incertae
SEQ_005723	unknown
SEQ_005765	incertae
SEQ_005787	unknown
SEQ_005788	unknown
SEQ_005837	unknown
SEQ_005865	JQ904538
SEQ_005933	unknown
SEQ_006188	JQ907397
SEQ_006199	KF318391
SEQ_006296	GQ330905
SEQ_006503	incertae
SEQ_006537	KF318825
SEQ_006554	JQ912514
SEQ_006556	JU096316
SEQ_006561	JQ912517
SEQ_006562	JQ912519
SEQ_006572	JQ912524
SEQ_006580	incertae
SEQ_006595	incertae
SEQ_006631	incertae
SEQ_006667	KF318406
SEQ_006832	EF210100
SEQ_006850	X75788
SEQ_006902	JQ278994
SEQ_006920	incertae
SEQ_007077	JQ912579
SEQ_007106	incertae
SEQ_007115	JQ278979
SEQ_007116	incertae
SEQ_007157	incertae
SEQ_007176	incertae
SEQ_007183	JQ279008
SEQ_007221	incertae
SEQ_007242	X80684
SEQ_007417	JQ283182
SEQ_007455	incertae
SEQ_007469	unknown
SEQ_007471	JQ917455
SEQ_007482	unknown
SEQ_007502	incertae
SEQ_007519	incertae
SEQ_007536	incertae
SEQ_007590	incertae
SEQ_007641	incertae
SEQ_007671	incertae
SEQ_007690	incertae
SEQ_007701	incertae
SEQ_007795	incertae
SEQ_007799	incertae
SEQ_007801	incertae
SEQ_007805	incertae
SEQ_007842	incertae
SEQ_007869	JQ283225
SEQ_007986	JQ917995
SEQ_007987	incertae
