study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB6610	SAMEA2657018	ERS488485	ERX521647	ERR562362	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562362/ERR562362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562362/ERR562362_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562362/ERR562362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562362/ERR562362_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_BBEOSW_3_1_64F3FAAXX.IND12.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_BBEOSW_3_2_64F3FAAXX.IND12.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_BBEOSW_3_1_64F3FAAXX.IND12.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_BBEOSW_3_2_64F3FAAXX.IND12.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562362	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562362		
PRJEB6610	SAMEA2620355	ERS489252	ERX521557	ERR562363	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562363/ERR562363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562363/ERR562363_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562363/ERR562363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562363/ERR562363_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ATEOSW_7_1_70DGUAAXX.IND10.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ATEOSW_7_2_70DGUAAXX.IND10.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ATEOSW_7_1_70DGUAAXX.IND10.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ATEOSW_7_2_70DGUAAXX.IND10.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562363	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562363		
PRJEB6610	SAMEA2619745	ERS488446	ERX521719	ERR562364	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562364/ERR562364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562364/ERR562364_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562364/ERR562364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562364/ERR562364_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_BAPOSW_3_1_64F3FAAXX.IND5.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_BAPOSW_3_2_64F3FAAXX.IND5.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_BAPOSW_3_1_64F3FAAXX.IND5.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_BAPOSW_3_2_64F3FAAXX.IND5.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562364	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562364		
PRJEB6610	SAMEA2657046	ERS490159	ERX521669	ERR562365	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562365/ERR562365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562365/ERR562365_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562365/ERR562365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562365/ERR562365_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AKHOSW_8_1_70H17AAXX.IND7.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AKHOSW_8_2_70H17AAXX.IND7.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AKHOSW_8_1_70H17AAXX.IND7.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AKHOSW_8_2_70H17AAXX.IND7.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562365	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562365		
PRJEB6610	SAMEA2657021	ERS488542	ERX521408	ERR562366	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562366/ERR562366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562366/ERR562366_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562366/ERR562366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562366/ERR562366_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_BBHOSW_5_1_64F3FAAXX.IND3.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_BBHOSW_5_2_64F3FAAXX.IND3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_BBHOSW_5_1_64F3FAAXX.IND3.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_BBHOSW_5_2_64F3FAAXX.IND3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562366	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562366		
PRJEB6610	SAMEA2619421	ERS487958	ERX521595	ERR562367	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562367/ERR562367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562367/ERR562367_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562367/ERR562367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562367/ERR562367_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ATPOSW_2_1_70DGUAAXX.IND2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ATPOSW_2_2_70DGUAAXX.IND2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ATPOSW_2_1_70DGUAAXX.IND2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_ATPOSW_2_2_70DGUAAXX.IND2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562367	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562367		
PRJEB6610	SAMEA2656970	ERS488594	ERX521691	ERR562368	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562368/ERR562368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562368/ERR562368_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562368/ERR562368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562368/ERR562368_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AFGOSW_6_1_70H17AAXX.IND8.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AFGOSW_6_2_70H17AAXX.IND8.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AFGOSW_6_1_70H17AAXX.IND8.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AFGOSW_6_2_70H17AAXX.IND8.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562368	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562368		
PRJEB6610	SAMEA2620959	ERS490172	ERX521561	ERR562369	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562369/ERR562369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562369/ERR562369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562369/ERR562369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562369/ERR562369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AKEOSW_1_1_66112AAXX.IND6_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AKEOSW_1_2_66112AAXX.IND6_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AKEOSW_1_1_66112AAXX.IND6_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AKEOSW_1_2_66112AAXX.IND6_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562369	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562369		
PRJEB6610	SAMEA2657103	ERS492224	ERX521517	ERR562370	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562370/ERR562370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562370/ERR562370_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562370/ERR562370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562370/ERR562370_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AMROSW_7_1_64MD3AAXX.IND6.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AMROSW_7_2_64MD3AAXX.IND6.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AMROSW_7_1_64MD3AAXX.IND6.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_AMROSW_7_2_64MD3AAXX.IND6.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562370	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562370		
PRJEB6610	SAMEA2619798	ERS488534	ERX521622	ERR562371	408172	marine metagenome	Illumina Genome Analyzer IIx	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562371/ERR562371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562371/ERR562371_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562371/ERR562371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR562/ERR562371/ERR562371_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_BBFOSW_2_1_64L7PAAXX.IND4.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_BBFOSW_2_2_64L7PAAXX.IND4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_BBFOSW_2_1_64L7PAAXX.IND4.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA329/ERA329958/fastq/ARG_BBFOSW_2_2_64L7PAAXX.IND4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562371	ftp.sra.ebi.ac.uk/vol1/err/ERR562/ERR562371		
