File	Accession	Alias	Sampling Campaign	Sampling Station	Sampling Platform	Event Label	Event Date/Time Start	Event Date/Time End	Latitude Start	Latitude Start Unit	Longitude Start	Longitude Start Unit	Latitude End	Latitude End Unit	Longitude End	Longitude End Unit	Depth	Depth Unit	Sample Collection Device	Protocol Label	Size Fraction Lower Threshold	Size Fraction Upper Threshold	Sample Status	Last Update Date	Marine Region	Temperature	Temperature Unit	Salinity Sensor	Salinity Sensor Unit	Oxygen Sensor	Oxygen Sensor Unit	Nitrate Sensor	Nitrate Sensor Unit	Chlorophyll Sensor	Chlorophyll Sensor Unit	Environment (Biome)	Environment (Feature)	Environment (Material)	Environmental Package	Citation	Further Details	Project Name	ENA-CHECKLIST	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	
ERR562588	ERS490670	TARA_N000000620	TARA_20101031Z	TARA_078	SV Tara	TARA_20101104T1004Z_078_EVENT_PUMP	2010-11-04T10:04	2010-11-04T13:25	-30.1367	DD	-43.2899	DD	-30.1885	DD	-43.2831	DD	5	m	PUMP (High Volume Peristaltic Pump)	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	This version can be used to provide data discovery services	2014-05-01Z	n/a	19.854083	ºC	36.32425	psu	221.47475	µmol/kg	-0.385346	µmol/L	0.053173	mg Chl/m3	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	163734101	32571555846	2014-07-15	2015-11-04	
ERR562558	ERS477943	TARA_A200000139	TARA_20090919Z	TARA_007	SV Tara	TARA_20090923T1439Z_007_EVENT_NET	2009-09-23T14:39Z	2009-09-23T14:58Z	37.0299	DD	1.9575	DD	37.0255	DD	1.953	DD	5	m	PLANKTON NET, TYPE=Double, MESH_Size_(�m)=20, MOUTH_Opening_(m^2)=0.192442, LENGTH_(m)=2.5	PROT_NUC-DNA(1L)_N20-180	20	180	This version is NOT FINAL but can be used to provide data discovery services	2014-03-01Z	(search radius=5 degree) Marine Ecoregion:Western Mediterranean (MRGID:21896), Marine Ecoregion:Alboran Sea (MRGID:3324)	23.82575	ºC	37.4911	psu	99999	µmol/kg	99999	µmol/L	0.0812	mg Chl/m3	marine biome (ENVO:00000447)	surface water (ENVO:00002042) layer	particulate matter, including plankton (ENVO:xxxxxxxx)	water	tbd	tbd	Tara Oceans	ERC000030	387081902	74180765163	2014-06-23	2014-11-06	
ERR562591	ERS488816	TARA_N000000038	TARA_20100309Z	TARA_038	SV Tara	TARA_20100315T0337Z_038_EVENT_NET	2010-03-15T03:37	2010-03-15T03:40	19.0393	DD	64.4913	DD	19.0389	DD	64.4925	DD	5	m	"PLANKTON NET, TYPE=Double, MESH_Size_(�m)=20, MOUTH_Opening_(m^2)=0.192442, LENGTH_(m)=2.5"	PROT_NUC-DNA(1L)_N20-180	20	180	This version can be used to provide data discovery services	2014-05-01Z	n/a	26.2314	ºC	36.617917	psu	199.9355	µmol/kg	0.889376	µmol/L	0.161808	mg Chl/m3	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	176406691	34862634817	2014-07-15	2015-11-04	
ERR562643	ERS488338	TARA_A100000595	TARA_20091031Z	TARA_018	SV Tara	TARA_20091102T0813Z_018_EVENT_PUMP	2009-11-02T08:13	2009-11-02T11:39	35.759	DD	14.2574	DD	35.7392	DD	14.3321	DD	5	m	PUMP (High Volume Peristaltic Pump)	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	This version can be used to provide data discovery services	2014-05-01Z	"(search radius=5 degrees) Marine Province:Mediterranean Sea (MRGID:8552), Marine Ecoregion:Tunisian Plateau/Gulf of Sidra (MRGID:21898), Marine Ecoregion:Ionian Sea (MRGID:3351)"	21.4395	ºC	37.89245	psu	207.791417	µmol/kg	99999	µmol/L	0.048898	mg Chl/m3	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	343542464	65840155157	2014-07-15	2015-11-04	
ERR562637	ERS492757	TARA_N000001998	TARA_20110726Z	TARA_123	SV Tara	TARA_20110731T2041Z_123_EVENT_NET	2011-07-31T20:41	2011-07-31T20:57	-8.8932	DD	-140.2879	DD	-8.8857	DD	-140.2936	DD	5	m	"PLANKTON NET, TYPE=Bongo, MESH_Size_(�m)=180, MOUTH_Opening_(m^2)=0.258319, LENGTH_(m)=3"	PROT_NUC-DNA(1L)_N180-2000	180	2000	This version can be used to provide data discovery services	2014-05-01Z	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	26.63952	ºC	35.35772	psu	189.8109	µmol/kg	5.321003	µmol/L	0.162506	mg Chl/m3	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	339032232	62571291636	2014-07-15	2015-11-04	
ERR562555	ERS488694	TARA_N000000323	TARA_20100108Z	TARA_034	SV Tara	TARA_20100120T1150Z_034_EVENT_PUMP	2010-01-20T11:50	2010-01-20T13:43	18.4417	DD	39.8567	DD	18.49	DD	39.8483	DD	60	m	PUMP (High Volume Peristaltic Pump) with ECOTriplet	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	This version can be used to provide data discovery services	2014-05-01Z	"(search radius=5 degrees) Marine Province:Red Sea and Gulf of Aden (MRGID:21776), Marine Ecoregion:Southern Red Sea (MRGID:21918)"	27.589917	ºC	38.916583	psu	175.384083	µmol/kg	0.08645	µmol/L	0.181406	mg Chl/m3	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	158904734	31328661204	2014-07-15	2015-11-04	
ERR562561	ERS488695	TARA_N000000327	TARA_20100108Z	TARA_034	SV Tara	TARA_20100120T1150Z_034_EVENT_PUMP	2010-01-20T11:50	2010-01-20T13:43	18.4417	DD	39.8567	DD	18.49	DD	39.8483	DD	60	m	PUMP (High Volume Peristaltic Pump) with ECOTriplet	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	This version can be used to provide data discovery services	2014-05-01Z	"(search radius=5 degrees) Marine Province:Red Sea and Gulf of Aden (MRGID:21776), Marine Ecoregion:Southern Red Sea (MRGID:21918)"	27.589917	ºC	38.916583	psu	175.384083	µmol/kg	0.08645	µmol/L	0.181406	mg Chl/m3	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	184509591	35905489465	2014-07-15	2015-11-04	
ERR562446	ERS492715	TARA_N000001954	TARA_20110726Z	TARA_122	SV Tara	TARA_20110728T2028Z_122_EVENT_NET	2011-07-28T20:28	2011-07-28T20:57	-8.957	DD	-139.2422	DD	-8.9502	DD	-139.2562	DD	115	m	"PLANKTON NET, TYPE=Bongo, MESH_Size_(�m)=180, MOUTH_Opening_(m^2)=0.258319, LENGTH_(m)=3"	PROT_NUC-DNA(1L)_N180-2000	180	2000	This version can be used to provide data discovery services	2014-05-01Z	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	24.662673	ºC	36.088963	psu	177.603609	µmol/kg	3.873943	µmol/L	0.288679	mg Chl/m3	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	144652413	28685115321	2014-07-15	2015-11-04	
ERR562659	ERS489251	TARA_N000000255	TARA_20100410Z	TARA_045	SV Tara	TARA_20100413T0321Z_045_EVENT_PUMP	2010-04-13T03:21	2010-04-13T06:05	0.0033	DD	71.6428	DD	99999	DD	99999	DD	5	m	PUMP (High Volume Peristaltic Pump)	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	This version can be used to provide data discovery services	2014-05-01Z	"(search radius=5 degrees) Marine Province:Central Indian Ocean Islands (MRGID:21774), Marine Ecoregion:Maldives (MRGID:21835)"	30.496383	ºC	35.091133	psu	185.243833	µmol/kg	2.575786	µmol/L	0.026898	mg Chl/m3	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	193162607	38369811618	2014-07-15	2015-11-04	
ERR562457	ERS490134	TARA_N000000805	TARA_20100624Z	TARA_066	SV Tara	TARA_20100715T1222Z_066_EVENT_PUMP	2010-07-15T12:22	2010-07-15T14:47	-34.9449	DD	17.9189	DD	-34.8986	DD	18.03	DD	5	m	PUMP (High Volume Peristaltic Pump)	PROT_NUC-RNA(100L)_W0.8-5	0.8	5	This version can be used to provide data discovery services	2014-05-01Z	(search radius=5 degrees) Marine Ecoregion:Agulhas Bank (MRGID:21806)	15.033492	ºC	35.323317	psu	238.916333	µmol/kg	2.450991	µmol/L	0.250054	mg Chl/m3	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"particulate matter, including plankton (ENVO:xxxxxxxx)"	water	tbd	tbd	Tara Oceans expedition (2009-2013)	ERC000030	284542845	53078281948	2014-07-15	2015-11-04	
