SAMEA2657018	ERS488485	ERR562362
SAMEA2620355	ERS489252	ERR562363
SAMEA2619745	ERS488446	ERR562364
SAMEA2657046	ERS490159	ERR562365
SAMEA2657021	ERS488542	ERR562366
SAMEA2619421	ERS487958	ERR562367
SAMEA2656970	ERS488594	ERR562368
SAMEA2620959	ERS490172	ERR562369
SAMEA2657103	ERS492224	ERR562370
SAMEA2619798	ERS488534	ERR562371
SAMEA2620847	ERS490021	ERR562372
SAMEA2619788	ERS488515	ERR562373
SAMEA2656995	ERS489067	ERR562374
SAMEA2657009	ERS490261	ERR562375
SAMEA2657078	ERS490911	ERR562376
SAMEA2657110	ERS488896	ERR562377
SAMEA2620988	ERS490201	ERR562378
SAMEA2656959	ERS491732	ERR562379
SAMEA2622128	ERS491883	ERR562380
SAMEA2621440	ERS490945	ERR562381
SAMEA2657072	ERS491970	ERR562382
SAMEA2657053	ERS490473	ERR562383
SAMEA2657031	ERS491798	ERR562384
SAMEA2621412	ERS490896	ERR562385
SAMEA2621209	ERS490553	ERR562386
SAMEA2656979	ERS491070	ERR562387
SAMEA2657007	ERS490063	ERR562388
SAMEA2657043	ERS492946	ERR562389
SAMEA2622347	ERS492188	ERR562390
SAMEA2620010	ERS488809	ERR562391
SAMEA2619878	ERS488648	ERR562392
SAMEA2620205	ERS489054	ERR562393
SAMEA2619398	ERS487921	ERR562394
SAMEA2656974	ERS489132	ERR562395
SAMEA2620011	ERS488810	ERR562396
SAMEA2657067	ERS490683	ERR562397
SAMEA2620418	ERS489329	ERR562398
SAMEA2620581	ERS489596	ERR562399
SAMEA2657056	ERS489122	ERR562400
SAMEA2621169	ERS490490	ERR562401
SAMEA2657102	ERS490712	ERR562402
SAMEA2657109	ERS492751	ERR562403
SAMEA2621520	ERS491055	ERR562404
SAMEA2619754	ERS488460	ERR562405
SAMEA2620267	ERS489142	ERR562406
SAMEA2656968	ERS489963	ERR562407
SAMEA2657030	ERS490572	ERR562408
SAMEA2657068	ERS491078	ERR562409
SAMEA2619778	ERS488498	ERR562410
SAMEA2657093	ERS488358	ERR562411
SAMEA2657054	ERS489234	ERR562412
SAMEA2619396	ERS487919	ERR562413
SAMEA2657025	ERS488420	ERR562414
SAMEA2620845	ERS490019	ERR562415
SAMEA2656998	ERS490618	ERR562416
SAMEA2657107	ERS488356	ERR562417
SAMEA2619762	ERS488476	ERR562418
SAMEA2656977	ERS490679	ERR562419
SAMEA2656990	ERS491082	ERR562420
SAMEA2622490	ERS492369	ERR562421
SAMEA2620072	ERS488886	ERR562422
SAMEA2657089	ERS489118	ERR562423
SAMEA2656993	ERS488598	ERR562424
SAMEA2611382	ERS477973	ERR562425
SAMEA2621496	ERS491010	ERR562426
SAMEA2619676	ERS488339	ERR562427
SAMEA2611378	ERS477965	ERR562428
SAMEA2621145	ERS490446	ERR562429
SAMEA2656997	ERS489556	ERR562430
SAMEA2591093	ERS477988	ERR562431
SAMEA2621436	ERS490941	ERR562432
SAMEA2622039	ERS491758	ERR562433
SAMEA2620556	ERS489543	ERR562434
SAMEA2656984	ERS491736	ERR562435
SAMEA2591103	ERS478003	ERR562436
SAMEA2622824	ERS492895	ERR562437
SAMEA2656992	ERS490083	ERR562438
SAMEA2619746	ERS488447	ERR562439
SAMEA2656994	ERS490905	ERR562440
SAMEA2622766	ERS492821	ERR562441
SAMEA2657080	ERS488744	ERR562442
SAMEA2619833	ERS488584	ERR562443
SAMEA2622719	ERS492742	ERR562444
SAMEA2621055	ERS490314	ERR562445
SAMEA2657075	ERS492715	ERR562446
SAMEA2591131	ERS478049	ERR562447
SAMEA2656983	ERS488342	ERR562448
SAMEA2656964	ERS488915	ERR562449
SAMEA2656967	ERS488902	ERR562450
SAMEA2619832	ERS488583	ERR562451
SAMEA2622463	ERS492332	ERR562452
SAMEA2657060	ERS488742	ERR562453
SAMEA2657073	ERS490253	ERR562454
SAMEA2619557	ERS488156	ERR562455
SAMEA2620072	ERS488886	ERR562456
SAMEA2620939	ERS490134	ERR562457
SAMEA2657083	ERS489984	ERR562458
SAMEA2657036	ERS492344	ERR562459
SAMEA2622104	ERS491843	ERR562460
SAMEA2622461	ERS492330	ERR562461
SAMEA2657039	ERS488684	ERR562462
SAMEA2657041	ERS488822	ERR562463
SAMEA2619557	ERS488156	ERR562464
SAMEA2656967	ERS488902	ERR562465
SAMEA2619811	ERS488554	ERR562466
SAMEA2619657	ERS488309	ERR562467
SAMEA2657095	ERS490582	ERR562468
SAMEA2625587	ERS478038	ERR562469
SAMEA2619917	ERS488695	ERR562470
SAMEA2591115	ERS478024	ERR562471
SAMEA2611385	ERS478008	ERR562472
SAMEA2657033	ERS491028	ERR562473
SAMEA2657003	ERS488257	ERR562474
SAMEA2619551	ERS488150	ERR562475
SAMEA2657065	ERS490216	ERR562476
SAMEA2620090	ERS488925	ERR562477
SAMEA2621542	ERS491101	ERR562478
SAMEA2657059	ERS487930	ERR562479
SAMEA2622699	ERS492708	ERR562480
SAMEA2657004	ERS489128	ERR562481
SAMEA2656985	ERS488678	ERR562482
SAMEA2622228	ERS492021	ERR562483
SAMEA2657081	ERS488469	ERR562484
SAMEA2656967	ERS488902	ERR562485
SAMEA2657080	ERS488744	ERR562486
SAMEA2657079	ERS489582	ERR562487
SAMEA2620910	ERS490105	ERR562488
SAMEA2657069	ERS488824	ERR562489
SAMEA2657049	ERS491021	ERR562490
SAMEA2657085	ERS492852	ERR562491
SAMEA2656978	ERS488481	ERR562492
SAMEA2657098	ERS488746	ERR562493
SAMEA2656966	ERS491086	ERR562494
SAMEA2622324	ERS492153	ERR562495
SAMEA2657009	ERS490261	ERR562496
SAMEA2657110	ERS488896	ERR562497
SAMEA2619723	ERS488410	ERR562498
SAMEA2657094	ERS492662	ERR562499
SAMEA2622010	ERS491719	ERR562500
SAMEA2657105	ERS491074	ERR562501
SAMEA2657048	ERS488464	ERR562502
SAMEA2657096	ERS491032	ERR562503
SAMEA2619540	ERS488128	ERR562504
SAMEA2656971	ERS490362	ERR562505
SAMEA2657086	ERS491854	ERR562506
SAMEA2620268	ERS489143	ERR562507
SAMEA2656980	ERS492404	ERR562508
SAMEA2656986	ERS492846	ERR562509
SAMEA2657084	ERS488345	ERR562510
SAMEA2657020	ERS489574	ERR562511
SAMEA2621208	ERS490552	ERR562512
SAMEA2656982	ERS492912	ERR562513
SAMEA2619665	ERS488318	ERR562514
SAMEA2611384	ERS478033	ERR562515
SAMEA2619832	ERS488583	ERR562516
SAMEA2622184	ERS491949	ERR562517
SAMEA2622769	ERS492824	ERR562518
SAMEA2657040	ERS489955	ERR562519
SAMEA2656956	ERS490150	ERR562520
SAMEA2622772	ERS492827	ERR562521
SAMEA2657016	ERS489065	ERR562522
SAMEA2656964	ERS488915	ERR562523
SAMEA2657026	ERS492723	ERR562524
SAMEA2621544	ERS491103	ERR562525
SAMEA2657110	ERS488896	ERR562526
SAMEA2656961	ERS490463	ERR562527
SAMEA2657027	ERS487935	ERR562528
SAMEA2624980	ERS478036	ERR562529
SAMEA2591060	ERS477934	ERR562530
SAMEA2657061	ERS490294	ERR562531
SAMEA2621029	ERS490281	ERR562532
SAMEA2624976	ERS478011	ERR562533
SAMEA2620941	ERS490136	ERR562534
SAMEA2622130	ERS491885	ERR562535
SAMEA2620072	ERS488886	ERR562536
SAMEA2620871	ERS490045	ERR562537
SAMEA2621410	ERS490894	ERR562538
SAMEA2657092	ERS491958	ERR562539
SAMEA2620583	ERS489598	ERR562540
SAMEA2657013	ERS489974	ERR562541
SAMEA2621522	ERS491057	ERR562542
SAMEA2619684	ERS488352	ERR562543
SAMEA2622487	ERS492366	ERR562544
SAMEA2657074	ERS477967	ERR562545
SAMEA2621442	ERS490947	ERR562546
SAMEA2621226	ERS490607	ERR562547
SAMEA2619755	ERS488461	ERR562548
SAMEA2620249	ERS489106	ERR562549
SAMEA2656972	ERS490499	ERR562550
SAMEA2620802	ERS489933	ERR562551
SAMEA2619419	ERS487956	ERR562552
SAMEA2622230	ERS492023	ERR562553
SAMEA2657108	ERS489952	ERR562554
SAMEA2619916	ERS488694	ERR562555
SAMEA2622232	ERS492025	ERR562556
SAMEA2621524	ERS491059	ERR562557
SAMEA2611380	ERS477943	ERR562558
SAMEA2656965	ERS488900	ERR562559
SAMEA2657100	ERS490503	ERR562560
SAMEA2619917	ERS488695	ERR562561
SAMEA2657002	ERS488539	ERR562562
SAMEA2657090	ERS490457	ERR562563
SAMEA2621080	ERS490341	ERR562564
SAMEA2621225	ERS490606	ERR562565
SAMEA2619534	ERS488122	ERR562566
SAMEA2620961	ERS490174	ERR562567
SAMEA2622660	ERS492650	ERR562568
SAMEA2619959	ERS488754	ERR562569
SAMEA2619685	ERS488353	ERR562570
SAMEA2611383	ERS477996	ERR562571
SAMEA2622844	ERS492933	ERR562572
SAMEA2656996	ERS488391	ERR562573
SAMEA2622182	ERS491947	ERR562574
SAMEA2591082	ERS477961	ERR562575
SAMEA2622343	ERS492184	ERR562576
SAMEA2657015	ERS488506	ERR562577
SAMEA2657071	ERS492904	ERR562578
