sample,region
smp_SRS011157,stool
smp_SRS011159,mouth
smp_SRS011161,mouth
smp_SRS011163,mouth
smp_SRS011165,mouth
smp_SRS011167,mouth
smp_SRS011169,mouth
smp_SRS011171,mouth
smp_SRS011173,mouth
smp_SRS011175,mouth
smp_SRS011177,ear
smp_SRS011179,ear
smp_SRS011180,arm
smp_SRS011181,arm
smp_SRS011182,nose
smp_SRS011271,stool
smp_SRS011273,mouth
smp_SRS011275,mouth
smp_SRS011277,mouth
smp_SRS011279,mouth
smp_SRS011281,mouth
smp_SRS011283,mouth
smp_SRS011285,mouth
smp_SRS011287,mouth
smp_SRS011289,mouth
smp_SRS011290,ear
smp_SRS011292,ear
smp_SRS011293,arm
smp_SRS011294,arm
smp_SRS011296,nose
smp_SRS011300,stool
smp_SRS011357,mouth
smp_SRS011361,mouth
smp_SRS011363,mouth
smp_SRS011365,mouth
smp_SRS011367,mouth
smp_SRS011369,mouth
smp_SRS011371,mouth
smp_SRS011373,mouth
smp_SRS011375,ear
smp_SRS011377,ear
smp_SRS011380,nose
smp_SRS011405,stool
smp_SRS011407,mouth
smp_SRS011409,mouth
smp_SRS011413,stool
smp_SRS011415,stool
smp_SRS011417,mouth
smp_SRS011419,mouth
smp_SRS011421,mouth
smp_SRS011423,mouth
smp_SRS011425,mouth
smp_SRS011427,mouth
smp_SRS011429,mouth
smp_SRS011431,mouth
smp_SRS011433,mouth
smp_SRS011434,ear
smp_SRS011435,ear
smp_SRS011438,arm
smp_SRS011440,nose
smp_SRS011441,ear
smp_SRS011442,ear
smp_SRS011443,arm
smp_SRS011444,arm
smp_SRS011446,vagina
smp_SRS011448,vagina
smp_SRS011450,vagina
smp_SRS011452,stool
smp_SRS011454,mouth
smp_SRS011456,mouth
smp_SRS011458,mouth
smp_SRS011460,mouth
smp_SRS011462,mouth
smp_SRS011464,mouth
smp_SRS011466,mouth
smp_SRS011468,mouth
smp_SRS011470,mouth
smp_SRS011472,ear
smp_SRS011474,ear
smp_SRS011475,arm
smp_SRS011477,arm
smp_SRS011479,nose
smp_SRS011482,mouth
smp_SRS011484,mouth
smp_SRS011485,mouth
smp_SRS011486,mouth
smp_SRS011488,mouth
smp_SRS011490,mouth
smp_SRS011492,mouth
smp_SRS011494,mouth
smp_SRS011496,mouth
smp_SRS011497,ear
smp_SRS011498,ear
smp_SRS011499,arm
smp_SRS011502,nose
smp_SRS011504,mouth
smp_SRS011506,mouth
smp_SRS011508,mouth
smp_SRS011510,mouth
smp_SRS011512,mouth
smp_SRS011514,mouth
smp_SRS011516,mouth
smp_SRS011518,mouth
smp_SRS011520,mouth
smp_SRS011521,nose
smp_SRS011523,vagina
smp_SRS011525,vagina
smp_SRS011527,vagina
smp_SRS011529,stool
smp_SRS011531,mouth
smp_SRS011533,mouth
smp_SRS011535,mouth
smp_SRS011537,mouth
smp_SRS011539,mouth
smp_SRS011541,mouth
smp_SRS011543,mouth
smp_SRS011545,mouth
smp_SRS011547,mouth
smp_SRS011549,ear
smp_SRS011551,ear
smp_SRS011553,arm
smp_SRS011555,arm
smp_SRS011557,nose
smp_SRS011559,mouth
smp_SRS011561,mouth
smp_SRS011563,mouth
smp_SRS011565,mouth
smp_SRS011567,mouth
smp_SRS011569,mouth
smp_SRS011571,mouth
smp_SRS011573,ear
smp_SRS011575,ear
