sample,region
srp_SRS074995,mouth
srp_SRS140767,mouth
srp_SRS078637,mouth
smp_SRS018216,mouth
smp_SRS046051,mouth
smp_SRS021439,mouth
srp_SRS146495,mouth
smp_SRS011492,mouth
smp_SRS047653,mouth
smp_SRS023985,mouth
srp_SRS147414,mouth
smp_SRS021982,mouth
smp_SRS065429,mouth
smp_SRS050234,mouth
srp_SRS149564,mouth
srp_SRS149796,mouth
srp_SRS100447,mouth
smp_SRS013462,mouth
srp_SRS065004,mouth
srp_SRS100711,mouth
srp_SRS062511,mouth
smp_SRS023809,mouth
srp_SRS142850,mouth
srp_SRS098262,mouth
smp_SRS017833,mouth
smp_SRS018214,mouth
srp_SRS143030,mouth
smp_SRS064959,mouth
srp_SRS148654,mouth
srp_SRS077296,mouth
smp_SRS024698,mouth
smp_SRS017351,mouth
smp_SRS013664,mouth
smp_SRS013234,mouth
smp_SRS021320,mouth
srp_SRS104242,mouth
smp_SRS053409,mouth
srp_SRS103030,mouth
srp_SRS141209,mouth
smp_SRS017086,mouth
smp_SRS011462,mouth
srp_SRS145218,mouth
smp_SRS018948,mouth
srp_SRS077278,mouth
smp_SRS023571,mouth
srp_SRS144518,mouth
smp_SRS020551,mouth
smp_SRS044803,mouth
smp_SRS017136,mouth
srp_SRS100540,mouth
srp_SRS148995,mouth
smp_SRS057813,mouth
smp_SRS062600,mouth
srp_SRS144328,mouth
srp_SRS143616,mouth
smp_SRS047139,mouth
smp_SRS021447,mouth
srp_SRS148602,mouth
srp_SRS142467,mouth
smp_SRS016604,mouth
smp_SRS018501,mouth
smp_SRS047650,mouth
smp_SRS053783,mouth
smp_SRS048669,mouth
smp_SRS022047,mouth
srp_SRS147463,mouth
srp_SRS078844,mouth
srp_SRS104025,mouth
srp_SRS101869,mouth
smp_SRS046956,mouth
smp_SRS055625,mouth
srp_SRS148290,mouth
smp_SRS015125,mouth
srp_SRS149158,mouth
srp_SRS078458,mouth
srp_SRS142688,mouth
srp_SRS101863,mouth
srp_SRS078350,mouth
srp_SRS105149,mouth
smp_SRS064983,mouth
srp_SRS146702,mouth
srp_SRS148710,mouth
srp_SRS098093,mouth
smp_SRS016014,mouth
smp_SRS017469,mouth
